date,clicks,impressions,position
2026-06-22,7,80,23.68
2026-06-23,4,97,25.68
2026-06-24,3,92,24.96
2026-06-25,4,81,20.65
2026-06-26,1,77,20.35
2026-06-27,1,52,37.29
2026-06-28,1,95,39.96
2026-06-29,2,192,12.86
2026-06-30,6,262,11.56
2026-07-01,3,111,21.68
2026-07-02,7,73,20.16
2026-07-03,2,43,30.91
2026-07-04,5,56,38.50
2026-07-05,1,78,30.10
2026-07-06,2,115,26.98
2026-07-07,2,62,32.56
2026-07-08,3,85,15.74
2026-07-09,3,80,22.86
2026-07-10,2,57,29.37
2026-07-11,0,48,42.63
2026-07-12,3,133,35.80
2026-07-13,0,100,27.22
2026-07-14,3,85,24.51
2026-07-15,6,62,20.21
2026-07-16,3,263,6.82
2026-07-17,3,43,35.16
2026-07-18,2,37,43.59
2026-07-19,3,94,34.78
2026-07-20,9,238,15.87
2026-07-21,3,99,22.87
2026-07-22,7,108,18.70
2026-07-23,3,125,22.22
2026-07-24,1,83,25.99
2026-07-25,2,96,27.71
2026-07-26,1,106,38.10
2026-07-27,2,134,30.89
2026-07-28,4,137,23.45
2026-07-29,3,162,15.52
2026-07-30,3,106,24.97
2026-07-31,3,214,12.29
2026-08-01,3,56,35.43
2026-08-02,1,107,24.18
2026-08-03,0,93,31.52
2026-08-04,3,129,22.09
2026-08-05,0,56,28.11
2026-08-06,2,114,31.07
2026-08-07,1,70,17.03
2026-08-08,0,49,38.02
2026-08-09,0,88,42.66
2026-08-10,6,143,27.10
2026-08-11,0,131,25.98
2026-08-12,4,157,28.85
2026-08-13,2,74,22.91
2026-08-14,1,328,19.98
2026-08-15,0,60,30.10
2026-08-16,2,72,35.33
2026-08-17,0,98,22.31
2026-08-18,3,118,21.97
2026-08-19,2,88,29.85
2026-08-20,1,207,14.06
2026-08-21,2,69,22.94
2026-08-22,0,61,25.82
2026-08-23,2,77,30.91
2026-08-24,2,125,25.14
2026-08-25,2,99,27.45
2026-08-26,7,86,29.74
2026-08-27,6,89,25.36
2026-08-28,2,83,20.29
2026-08-29,0,74,19.70
2026-08-30,1,117,25.20
2026-08-31,2,529,10.75
2026-09-01,3,562,11.28
2026-09-02,2,206,16.74
2026-09-03,4,114,22.51
2026-09-04,2,66,22.24
2026-09-05,0,76,23.97
2026-09-06,0,94,28.05
2026-09-07,2,112,29.34
2026-09-08,6,121,25.09
