date,clicks,impressions,position
2026-06-22,0,44,31.43
2026-06-23,0,53,33.89
2026-06-24,0,42,44.07
2026-06-25,0,46,26.54
2026-06-26,0,29,42.41
2026-06-27,0,29,49.17
2026-06-28,0,65,44.35
2026-06-29,0,127,13.91
2026-06-30,0,163,12.60
2026-07-01,0,72,31.04
2026-07-02,0,35,31.26
2026-07-03,0,26,42.54
2026-07-04,1,33,51.85
2026-07-05,0,49,30.35
2026-07-06,0,65,39.42
2026-07-07,0,35,46.83
2026-07-08,2,50,20.82
2026-07-09,0,42,29.83
2026-07-10,0,32,38.31
2026-07-11,0,31,55.55
2026-07-12,0,86,41.37
2026-07-13,0,68,27.32
2026-07-14,0,34,35.65
2026-07-15,0,28,36.64
2026-07-16,0,234,6.22
2026-07-17,0,14,55.79
2026-07-18,0,23,62.83
2026-07-19,0,52,37.56
2026-07-20,0,178,18.28
2026-07-21,1,40,38.78
2026-07-22,0,56,29.04
2026-07-23,0,61,35.30
2026-07-24,0,54,29.30
2026-07-25,0,42,43.57
2026-07-26,0,65,43.60
2026-07-27,0,81,39.14
2026-07-28,0,70,33.37
2026-07-29,0,120,18.65
2026-07-30,0,59,31.76
2026-07-31,0,82,14.84
2026-08-01,0,38,44.74
2026-08-02,0,73,22.60
2026-08-03,0,52,44.67
2026-08-04,0,79,25.19
2026-08-05,0,35,41.00
2026-08-06,0,73,36.15
2026-08-07,0,47,21.96
2026-08-08,0,26,49.31
2026-08-09,0,61,50.56
2026-08-10,1,87,28.57
2026-08-11,0,54,45.04
2026-08-12,0,129,32.26
2026-08-13,1,45,27.84
2026-08-14,0,217,2.94
2026-08-15,0,31,31.16
2026-08-16,1,37,35.95
2026-08-17,0,71,24.66
2026-08-18,0,67,27.13
2026-08-19,0,45,44.33
2026-08-20,0,158,16.30
2026-08-21,0,43,30.93
2026-08-22,0,27,31.59
2026-08-23,0,55,35.42
2026-08-24,0,83,25.98
2026-08-25,0,51,34.90
2026-08-26,0,44,38.00
2026-08-27,0,38,33.79
2026-08-28,0,34,30.97
2026-08-29,0,34,32.24
2026-08-30,0,73,23.63
2026-08-31,0,262,10.76
2026-09-01,0,522,11.07
2026-09-02,0,167,18.16
2026-09-03,0,61,31.75
2026-09-04,0,30,37.33
2026-09-05,0,39,30.92
2026-09-06,0,67,32.21
2026-09-07,0,72,31.79
2026-09-08,0,55,32.47
