date,clicks,impressions,position
2026-07-20,0,136,52.42
2026-07-21,0,71,58.11
2026-07-22,0,59,55.61
2026-07-23,0,93,53.85
2026-07-24,0,57,54.63
2026-07-25,0,95,57.64
2026-07-26,0,53,59.60
2026-07-27,0,190,52.06
2026-07-28,0,81,55.30
2026-07-29,0,81,57.30
2026-07-30,0,116,59.57
2026-07-31,0,42,60.17
2026-08-01,0,58,61.90
2026-08-02,0,58,59.72
2026-08-03,0,40,60.75
2026-08-04,0,22,62.77
2026-08-05,0,11,63.55
2026-08-06,0,43,68.42
2026-08-07,0,6,39.00
2026-08-08,0,11,67.55
2026-08-09,0,29,66.28
2026-08-10,0,49,65.33
2026-08-11,0,16,56.69
2026-08-12,0,7,49.71
2026-08-13,0,44,69.11
2026-08-14,0,14,70.29
2026-08-15,0,26,60.73
2026-08-16,0,38,61.45
2026-08-17,0,53,55.08
2026-08-18,0,18,61.56
2026-08-19,0,9,55.44
2026-08-20,0,39,64.51
2026-08-21,0,5,32.00
2026-08-22,0,22,56.91
2026-08-23,0,36,58.39
2026-08-24,0,61,61.03
2026-08-25,0,23,53.78
2026-08-26,0,15,30.13
2026-08-27,0,39,65.82
2026-08-28,0,6,49.83
2026-08-29,0,26,53.62
2026-08-30,0,28,52.00
2026-08-31,0,65,56.60
2026-09-01,0,20,58.40
2026-09-02,0,9,45.33
2026-09-03,0,25,63.36
2026-09-04,1,28,64.29
2026-09-05,0,53,60.68
2026-09-06,0,40,53.65
2026-09-07,0,76,47.91
2026-09-08,0,43,51.74
